post,label
"Bella Hadid, though half Palestinian, was born to a very privileged family in the United States, never been to Gaza, and never bothered even learning what is actually going on there. Sometimes it is better to stay silent than to prove to the world your brain is as plastic as all the rest of the implants in your body. #StandWithIsrael #BellaHadid #HamasisISIS
#israelwillwintheterror
https://www.facebook.com/watch/?v=988186488930979

‎יוסף חדאד - Yoseph Haddad‎
October 29 at 8:11 PM ·

This video is for you Bella Hadid...

חדאד נגד חדיד- זו התשובה שלי לבלה חדיד! סרטון בשיתוף ישראל בידור...צפו ושתפו!

This video is for you Bella Hadid...

Hadad against Hadid - this is my answer to Bela Hadid! Video shared by israel entertainment... Have a look and share!",against
I hate palestines with all of my heart!! 😩😑,against
"Hi, I am only recently becoming familiar with the history of the conflict.
My understanding is that Hamas rules Gaza. Is Palestine currently the same thing as Gaza? Is the movement to free Palestine a desire for Hamas to rule the non-Gaza area currently ruled by the Israeli government?",neutral
"Spehar opens the piece with an explanation that the information contained within has been sourced entirely from Al Jazeera, perhaps unaware that the media organization is owned by the Qatari state, which has also been a key financial backer of Hamas over the years.",neutral
"NEW YORK RALLY THIS EVENING
Please attend this rally in New York this evening to show your support for Israel and the Jewish people.
Thank you and G-d bless you

Holding Hands for Israel
November 6 at 6:48 PM ·

.

*************************************

Please make every effort to attend this solidarity rally in New York this evening.

We cannot overemphasize the importance.

Thank you and G-d bless you.

*****************************
HOLDING HANDS FOR ISRAEL/STOP IRAN

Dear Friends,

We need you!

We are in the midst of an epic battle of good versus evil.
If good is to win - then truth must win.

Please join us as we unite to defend Israel, the United States and the free world in the critical battle for hearts and minds.

The brave people of Israel stand on the front lines eager to fight for their survival - and ours.

Meanwhile our enemies appear to be winning the propaganda war by ignoring facts and promoting false narratives. For decades they have incited the hatred and violence which led to the horrific massacre on October 7. They are now on the streets en masses portraying Israel and Jews as subhuman oppressors who got what was coming to them.

THIS MUST BE EFFECTIVELY COUNTERED NOW!

PLEASE MAKE EVERY EFFORT TO ATTEND THIS GATHERING IN NEW YORK CITY THIS EVENING
.
Thank you and G-d bless you.

OPERATION TRUTH WARRIORS
OPERATION HATIKVAH RALLIES

https://www.facebook.com/photo/?fbid=304244495824650&set=a.103310325918069",against
"Israel is like the cool kid in the Middle East—living proof that Jews and Arabs can totally get along. It's the only democracy in the neighborhood, surrounded by non-democratic countries. Even Arab folks are giving it a nod! We're rallying for your support to spread that good vibe across the Middle East! #Israel #StandWithIsrael #Educate
#israelwillwintheterror
https://www.facebook.com/reel/648285370707595

Odem Odemland Alagem
October 23 at 6:38 PM",neutral
"1. The Dead Sea Scrolls: Discovered in the mid-20th century in the caves of Qumran near the Dead Sea, these scrolls include Jewish texts dating back to the Second Temple period (around 516 BCE to 70 CE). These texts provide valuable insight into Jewish religious practices and beliefs during that time.

2. Jericho: Located in Judea&Samaria, Jericho is one of the oldest inhabited cities in the world. It has yielded archaeological evidence of various Jewish settlements and historical events mentioned in the Hebrew Bible.

3. Shiloh: Mentioned in the Hebrew Bible as the first place where the Israelites settled after entering the Promised Land, excavations at Shiloh have revealed the remains of Jewish structures, including a large building that many believe to be the ancient Tabernacle.

4. Mount Gerizim: Located near the city of Nablus in the West Bank, Mount Gerizim is considered sacred to the Samaritans, a small religious community who follow closely to the beliefs of ancient Israel. Archaeological surveys of the mountain have revealed Jewish artifacts and structures, indicating Jewish presence in the area.

5. Sebastia: This ancient city located in the northern West Bank is historically identified as the biblical city of Samaria, the capital of the ancient Kingdom of Israel. Numerous excavations have revealed Jewish architectural remains, including a massive palace complex believed to have belonged to King Herod.

6. Herodium: Situated southeast of Jerusalem, Herodium was a fortress and palace built by King Herod the Great. Excavations at the site have uncovered parts of a Jewish palace, a bathhouse, elaborate frescoes, and a synagogue, indicating Jewish presence at the time.

7. Shomron: The Shomron National Park covers the area of ancient Samaria, which was once inhabited by Israelites and later by Samaritans during the Second Temple period. Recent excavations have uncovered Jewish synagogues, ritual baths, and inscriptions with Hebrew inscriptions.

These are just a few examples of Jewish archaeological findings in Judea and Samaria. There are numerous other sites in the region that provide valuable insights into Jewish history and civilization.

""Palestinian"" Arab findings....zero",against
"ZIONISM

“We’ll kill all of you”

“Go to Gaza so they can r*pe you”",with
I am from India. The friendship between India and Israel is very old and this friendship will last forever no matter what happens.,against
Palestine was not an empty piece of land before Israel. #Palestine #FreePalestine,with
Our courage is strength that fears our enemy. #Israel,against
"Go live on Al jazzera
Watch how bombing hospitals and surrounding children hospital for cancer patients becomes a target to declare victory",neutral
"As Israeli bombs dropped on Gaza in May, Amazon and Google signed a $1 billion contract to provide cloud services for the Israeli government.

Alongside employees at both companies, a coalition of 41 organizations is launching a campaign to demand Amazon and Google stop powering apartheid and cut their contracts.

Through Project Nimbus, Amazon and Google are strengthening Israel’s military occupation and apartheid rule over Palestinians. The Israeli government uses cloud services to surveil Palestinians, expand illegal settlements, and inflict violence on Palestinians in Gaza.

As Amazon and Google employees wrote in yesterday's The Guardian op-ed, co-signed by 800 and counting, ""We cannot look the other way as the products we build are used to deny Palestinians their basic rights... We envision a future where technology brings people together and makes life better for everyone.""

Support these brave Amazon and Google workers, and defend Palestinian freedom and safety, by joining our #NoTechForApartheid campaign.

Go to notechforapartheid.com to email the companies' executives telling them to cut their contracts with the Israeli government.",with
"O Leão da tribo de Judá Jerusalém a capital de Israel para sempre

Lion of the tribe of Judah Jerusalem capital of Israel forever",against
"O sons of jews we promise you something you have never seen in your life…🥶

Abu ubaidah speech.",against
May the Glory of Jesus Christ watch over Israel 🇮🇱 and let them Conquer the holy land in Jesus name Amen 🙏🏼♾🇮🇱,against
I love Palestine,with
"Happy new month of November 2023. If you love and support Israel 🇮🇱 🇮🇱 tell us where you from, where you are supporting. May the Lord Yeshua aka Jesus Christ bless you O:) 🕇🔯",against
"“Your name will no longer be Jacob, but Israel, because you have struggled with God and with humans and have overcome.”

Genesis 32.28 ✡️🇮🇱",against
Hamas shoot on his civilians because they want to go out from the hospital I am sorry about the civilians,with
"I am from South Sudan I stand with Holly nation Isreal mey almighty God bless, protect and give them victory.",against
"The Israeli Military is organizing parties on the border with #Gaza to celebrate genocide. In this video, Israeli singer Omer Adam sings inciting murdering Palestinian children and women.

- via QNN (Twitter/X)",with
"Thank you everyone for standing with Israel!💗🇮🇱

When the sun sets over our beautiful country, it often puts on a display of colors that flare among the clouds as it puts forth its last rays of daylight.
-Tzfat (Safed), Israel",against
Israel is the nation chosen by God to be an example for mankind as a nation that was barbaric and barbarically killed the prophets,with
There is fear on both sides.,neutral
"Do you also find it absurd when so-called legitimate formal representatives of the Palestinian people fail to condemn terrorism and the murder of innocent people? Not only he does not condemn that, he completely annuls the Israeli side, claiming their suffer is not important. How can Israel come into terms with the Palestinians when these are their leaders, who won't even listen, or worse, overrule and deny the other side? Share to reveal the true face of Hamas leadership! #theTruthAboutHamas #StandWithIsrael
#israelwillwintheterror
https://www.facebook.com/reel/350926110687706?mibextid=IX6t0L

Im Tirtzu
October 25 at 12:48 PM",against
Oh Lord protect the mothers and the Jewish babies 🇮🇱 🇮🇱 🇮🇱,against
I may not live in Palestine but Palestine lives in me ❤️,with
"This brother right here stands with Israel. So if you stand with Israel, type I stand with Israel!",against
"State-backed settler violence alert!

Harrowing photos from Friday's olive harvest in the town of Surif in the western occupied Hebron. Colonial settlers attacked Palestinians and activists with stones and batons. Israeli occupation soldiers stood nearby and watched!",neutral
"Call your legislators.
They give you the wording so you just read the text given.

https://www.jewishvoiceforpeace.org/resource/urgent-tell-congress-to-stop-fueling-violence/?fbclid=PAAaZ-C6dmAWRZEWM8ilJXsRLgnKLWX8QeEPXIVChneqEUFgS1ESykNiBAp5Y_aem_ATICEZ-p8KGf2LBGVpKEFSBkvJSO5Gc4e5MHqtppYd16c8c7s2mEVM6SHSErtQp4EEQ

JEWISHVOICEFORPEACE.ORG
URGENT: Stop genocide against Palestinians in Gaza (call now) - JVP",with
"Yes!!! In the battle field,only the son of Ali is standing alone,Arabs have fled the battle field.
Long live Iran
☝️☝️☝️🇮🇷🫡🫡🫡
#FreedomOfPalestine 🇵🇸🇵🇸🇵🇸🇵🇸",with
"WOW!!! Indonesia is present in a MAJOR way for Palestine!! 2 million people!!! EXTRAORDINARY

Thank you Brother🇮🇩❤️ We are united🇷🇺❤️🇵🇸

#freepalestine",with
"And then there will be greenfields, beaches, and Life, and happyness..
No more gaza, no more terror.",against
"This is how war criminals and apartheid representatives must be treated everywhere.

Israeli ambassador Tzipi Hotovely was forced to flee London’s LSE university after students protested her presence and refused to give her a platform.",with
"There's a propaganda machine that shows Hamas taking care of kidnapped Jews. Don't fall for it, Satan always comes with other plans but God exposes. Bring all the kidnapped Israelis back. Praying for them 🙏",against
"Gaza would be a Paradise today, if Hamas used the billions in donations they receive each year to build hospitals schools and homes. Instead of using the money to build Tunnels, guns and other weapons.",neutral
"Whilst I am behind Israel 100%, I'm afraid I have to disagree with those espousing their belief that Israel is fighting a battle for the West and more Western support is demanded rather than being appreciated.",against
I am Muslim and I stand with Palestine all Muslim like my post and comment please 🇵🇰💪🇵🇰🇵🇸🇵🇸🥀,with
Esrael is a city of EVIL.satan..,with
"After destroying a 1600-year-old church last night, Israel also leveled the 1400-year-old Great Mosque of Gaza.

Images from this morning show the devastation.

We are witnessing crimes against human culture, civilization and history.",with
"IDF forces continue to advance deeper into the Gaza Strip, gradually destroying the terrorists one by one.
Despite the fact that some countries are against it, Israel continues to assert its right to self-defense and is conducting an operation in Gaza that will help destroy Hamas completely so that members of this terrorist organization will no longer pose a threat to our country. The IDF forces intend to go to the end. and deprive Hamas of complete control over Gaza",against
May GOD protect Israel,against
"While we watch these raw and graphic images from behind a screen in the comfort of our own home, these brave and courageous men risk their lives every second. They have seen the unimaginable, absolute horror, destruction and devastation and their work is relentless, working tirelessly without much rest! May Allah reward them immeasurably for everything they do and protect them so that they continue to help the injured, vulnerable & the dead 🤲🏼 😢

Mohammad Jaffer MirAj
1 hr ·

VOLUNTEERING IS NOT A EASY JOB .
While we watch these raw and graphic images from behind a screen in the comfort of our own home, these brave and courageous men risk their lives every second. They have seen the unimaginable, absolute horror, destruction and devastation and their work is relentless, working tirelessly without much rest! May Allah reward them immeasurably for everything they do and protect them so that they continue to help the injured, vulnerable & the dead 🤲🏼
#volunteering #humanity😢",with
"Something more about the Palestinians and the ""Land of the Fathers""

Around the year 1700, a young Dutchman named Adrian Reland (in English spelling - Adrian Reland - 1718-1676) worked in the land, then called Palestine. He was probably a serious genius who mastered at least five languages: Dutch, Latin, ancient Greek, Arabic and Hebrew, and was a geographer, cartographer (mapping expert), linguist and above all an adventurer. He traveled around Israel for probably quite a few months, documenting about 2,500 biblical and current sites of his time, including demographic documentation.
This journey was later summarized in a book of about 1,200 pages in two volumes, published several years later.

The name of the book is Palaestina Ex Monumentis Veteribus Illustrata and it is written mainly in Latin, with many passages in Hebrew, Arabic, Greek and more.
This book is available in its entirety online and can be downloaded for example at
https://iiif.wellcomecollection.org/pdf/b30535062
Unfortunately, I rarely read Latin, but there are those who do and have bothered to read. I checked several sources about the book, and even consulted ChatGPT about it. Here is one of the sources:
https://www.solonin.org/en/article_palestinian-issue
I will not expand the review but will only deal with the demographic dimension.
Reland's basic conclusion at that time was that the country is more or less empty, and most of its inhabitants are Jews, most of the rest are Christians, and the rest are other minorities, including Muslims. The Jews are not only ""Orthodox"" who came to pray or die in Israel, they are engaged in agriculture and make a living from it.

He describes a situation in which the big cities number at most a few thousand people. According to him, there are about 5,000 residents in Jerusalem, of which about two-thirds are Jews, about one-third are Christians, and the Muslims are a negligible minority. There are 550 people in Gaza, half of them Jews and half of them Christians (today there are 1.2 million people in Gaza and the refugee camps around it; most of them are Muslims). Nazareth is populated by Christians only (about 700). In Tiberias and Safed Jews only. In Umm-el-Fahm, 10 families, all Maronite Christians. Similarly, the other main cities Acre, Jaffa, Hebron are populated mainly by Jews and Christians. The only ""city"" that has a Muslim majority is Nablus, where there are 120 Muslims and another 70 Samaritans (today Nablus has over 150,000 people, most of whom are Muslim; the number of Samaritans in Israel today is about 700). Apart from these, the majority of the country's Muslim residents are Bedouins who migrate from place to place and are sometimes employed as temporary laborers in the cities - not people who have any property.

Now let's understand the context - the year 1700 is about 180 years before the critical year for the Jews - 1882, in which a significant immigration to Israel for Zionist reasons begins for the first time. In those years, mainly due to high infant mortality, the rate of population growth in the Middle East was extremely slow. You can look at the numbers between 1700 and 1882 which are similar in pace and even slower, but it is more convenient to look at the numbers up to the First World War, after which the British were here whose numbers are a little more reliable. So from 1700 to 1912, the population of Egypt grew from 4.5 to 11.6 million, Iraq from 1 to 2.9 million, Iran from 5 to 10.7, Syria from 1.25 to 2.0, Sudan from 4.5 to 5.3.
https://ourworldindata.org/grapher/population?tab=table&time=1700..1912

At the end of the First World War, there were about 600,000 Muslim Arabs in the Western Land of Israel. Even if it is calculated according to the maximum growth rate (Iraq), in 1700 there should have been about 200 thousand Muslims in the country. According to Reland's testimony, there is no way that was the number. They were simply not here, certainly not as permanent residents with clear possessions. Let's be clear, a person who wanders in an empty desert without having any property in his possession or being in it regularly, cannot later claim a certain house as his home for generations.

The conclusion from all this discussion is simple - the Palestinian argument as if the Palestinian people have lived in the land for thousands of years or ""for generations"" - is completely unfounded. In 1700 the country was almost empty of Muslims. They arrived here in significant numbers as migrant workers in the 19th century, with the encouragement of the Turkish rulers, and even larger numbers arrived after the Jews began immigrating to Israel in 1882, to work in agriculture, which the Jews began to develop here. This trend continued until the First World War and throughout the days of the Mandate. When a person whose last name is Baghdadi or Halabi claims to be Palestinian, what he is actually saying is that his family arrived in Israel, from Iraq or Syria, as migrant workers 80 to 200 years ago. I'm not saying that he can't be considered a Palestinian today, but to claim that this is the property of his ancestors for generations is simply ridiculous.

And thanks to Raya Baranovsky who drew my attention to the book, when she shared a post by Yosef Kopansky on the subject.",with
"Long live Israel, God protects you all the time. I love Israel.",against
"Israeli settlers attack Palestinian shops in the town of Huwara, southern Nablus city, under the protection of occupation forces.

70+ years of oppression and injustice, yet no one cares..",neutral
"Artificial intelligence is already superior to that of most politicians! I asked Chat GPT:

Supranational Federation for Israel and Palestine

Yehuda A Schwartz
Describe a supranational federation for Israel and Palestine, guaranteeing strong autonomy for both people without territorial partition

A supranational federation for Israel and Palestine would be a political entity that combines the sovereignty of both states into a single entity, while still maintaining strong autonomy for both peoples. This federation would be governed by a central government that is responsible for certain common functions, such as foreign relations and security, but would also allow for regional governments to have a significant degree of control over their own affairs.

Under this federation, both Israel and Palestine would be able to maintain their own distinct cultural and religious identities, and would be able to make decisions that reflect their unique needs and values. Each region would be able to pass laws and regulations that are specific to their own population, as long as they do not violate the overall principles of the federation.

The supranational federation would also guarantee strong autonomy for both Israel and Palestine, allowing them to have control over their own economies, education systems, and other domestic policies. This would allow each region to pursue its own development goals, while still being part of a larger, unified entity.

Overall, a supranational federation for Israel and Palestine would be a way to bring these two peoples together and create a more peaceful and prosperous future for all. It would allow both sides to maintain their own identities and traditions, while also working together to address common challenges and achieve shared goals.

Yehuda A Schwartz

ChatGPT Dec 15 Version. Free Research Preview. Our goal is to make AI systems more natural and safe to interact with. Your feedback will help us improve.",neutral
"While Israel attempts to avoid as much as possible from hurting innocent people, calling to warn them to evacuate, Hamas is abusing their own people - blocking their way, preventing them from evacuating and then using them as human shields. Share the truth about Hamas and speak out against it! #StandWithIsrael #IsraelUnderAttack #HamasisIsis #HamasMassacre
#israelwillwintheterror
https://fb.watch/n-olroPg-m/?mibextid=cr9u03

StandWithUs
October 28 at 8:27 PM ·

“We have a fundamental problem and we need to stop blaming Israel.""
Mosab Hassan Yousef, the son on Hamas leader, Hassan Yousef, continues to expose the truth about Hamas. #StandWithIsrael #IsraelUnderAttack #HamasisIsis #HamasMassacre",against
HAMAS MUJAHEDEEN a brave warriors of ISLAM fighting for justice and freedom 🤲🤍💪💪🕌,with
"Promis land is for children of Israel who not disobeying God, tell us what commandmen from God for children of Israel??? killing inocent people oppresure, to colonialism, act barbarity, torture,stealing are disobeying God, mocking other religion is disobeying God, fabricating verse is disobeying God, adultery is disobeying God, make a statue of God or make a picture of God is disobeying God, prostitute is disobeying God, consuming pork is disobeying God..even though they are children of Israel, if they break God's law, if they disobey they have no right to live in the holy land",with
"All Muslims in the world are indebted to the Palestinian people. They sacrificed to protect the Aqsa Mosque and its land. Forgive us, we can only pray for my brothers and sisters in Palestine.🤲🇵🇸❤️

#freepalestine",with
"We are one.
We are united.
We are in this together.

A special message to the Jewish people from the IDF Spokesperson RAdm. Daniel Hagari.",against
‘Israel has right to go after Hamas…’: US NSC John Kirby amid ongoing Israel-Hamas war #israel #hamasattack #gaza,against
"It could be the final hours for some infants in Gaza.

Power is about to be cut off with no access to clean water or food. Time is running out for the infants in Sifa Hospital's intensive care unit.

When resources run out, medical devices will stop, and infants may lose their lives.

#LetGazaBabiesLive #GazaGenocide #GazaUnderAttack #WeAreAllGaza #IsraelTerorrist #Israel #IsraeliCrimes #EU #Gaza_Genocide",with
She is the enemy because she cannot forget that her grandparents were forced out of their homes.,with
"We must win properly - and permanently'
The most guaranteed way for Israel to rehabilitate it's southern towns.

Joel Busner, the founder of the organization Buy a Piece of Israel, which encourages Jews from all over the world to buy private land in Israel, speaks with Arutz Sheva - Israel National News about the effects of the war on the land of Israel.

“We have four plots in Yaniel and a Galilee country home in Migdal,” he says. “With the tensions in the north, they’re on hold right now.” Several towns in northern Israel have been evacuated due to continual rocket and missile fire from Lebanon towards Israel, including an incident in which an IDF soldier was killed.

“The war has significantly impacted everyone’s plans for buying any private residential land right now.” In Israel, Busner explains, only seven percent of all land is owned by private individuals, with the rest owned by the government or the Jewish National Fund and developed under extremely long-term leases. “There’s enough danger to keep people from making new plans or closing deals.”

Busner clarifies that the real estate market is...
сontinue reading https://www.buyapieceofisrael.com/we-must-win-properly-and-permanently/",against
I love Isreal so much and I will forever support them!,against
"My hands are up, for your safety
May your enemy not remain, may you be blessed with victory 🇵🇸♥️🤲🏻",with
"BREAKING: RELEASED PRISONERS SAID HAMAS TREATED THEM WELL AND ISRAELI SOLDIERS KILLED THEIR OWN

She said;

“Al-Qassam fighters treated us humanely and did not kill any civilians, but it was the Israeli occupation army that killed Israeli civilians during the clash with fighters from Gaza.”

(From gazaalannetgroup)",with
I pray for Hezbollah to intervene in full support... Israel even declared using nuclear on gaza🤣🤣🤣...it seems they bit more than they can chew.. Israel must face real war,with
"Thought that the group would like this

Mohammed Seheem
April 29, 2022 at 8:48 PM ·

Watch very closely how happy the Israeli Zionist are and how they smile whilst they terrorise innocent Palestinians.

They use force and attack innocent Palestinians whilst smiling and enjoying the occasion.

The same people who came in ships carrying banners stating """"the Germans destroyed our families and homes, don't you destroy our hopes""

They should have been left in their ships roaming the seas lost and unwanted.",with
"YOUTUBE.COM
The war on Gaza exposes the moral bankruptcy of Western values",against
"Monsters, please help us to expose their terrorism, share everywhere
FREE PALESTINE from the river to the see🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸

‎Viva Palestina فلسطين حرة‎
May 16, 2022 at 8:57 PM ·

CCTV records show the moment when the Israeli occupation forces raided Saint Joseph Hospital during the funeral of the Palestinian journalist Sherin Abu Aqla, last Friday 16.5.2022",with
"Thank You to everyone who showed up and showed out ! San Antonio we did amazing ❤️!

Remember to post pictures and videos on all of your socialmedia accounts Twitter, TikTok, Instagram and here on Facebook. You can tag #satxforpalestine #sanantonioforpalestine #FreePalestine you can also tag our page to reshare on here and on Instagram @sajp1948 !

Our work is not done. Text “ceasefire” to “51905” to contact your government officials, keep signing all of the petitions and let’s keep educating eachother ! We need Ceasefire and we need it now.",with
"The Old City of Jerusalem l / from a Jewish view
Significance For Jews

Jewish literature details that when the Messiah (the promised deliverer of the Jewish nation as prophesied in the Jewish bible) arrives, he will enter Jerusalem through the Eastern Gate. Talmudic literature also refers to this gate as the Shushan Gate, due to its Eastern direction toward the Persian city (now modern-day Iran). There is debate as to whether the name is meant to pay homage to the Persian leader Cyrus, who allowed Jews to return to Jerusalem in the 6th century B.C.E. to rebuild the Temple. Additionally, the gate is significant for Jews because according to tradition, on the holiday of Yom Kippor (Day of Atonement), a Temple messenger was sent through this gate with a sacrificial lamb to the desert. Therefore, the gate holds historical and traditional significance for the Jews, as well as remaining an indicator of the Messiah who is meant to come.

The sealed Golden Gate
Why Was the Gate Sealed?
As mentioned previously, the Eastern gate was ultimately sealed shut in 1541 by the Ottoman Sultan Suleiman. However, prior to this time, the gate was closed in 810 (also by the Muslims), then reopened in 1102 by the Crusaders, and then walled up again by Saladin (the first sultan of Egypt and Syria and the founder of the Ayyubid dynasty) after defeating the Crusaders in 1187 and gaining control of Palestine and the city of Jerusalem.

The final sealing shut of the gate as completed by Suleiman is said to have been a defensive move by the sultan. As derived from the Jewish literature, the gate is said to be the point at which the Jewish Messiah will enter the city of Jerusalem, and therefore, in order to prevent this from occurring, the sultan sealed the gate.",against
"A Palestinian child on Wednesday evening was injured after a horde of Israeli settlers chased and assault him in al-Khalil City.

In another incident, another group of settlers hurled rocks at Palestinian vehicles traveling on the road between Jenin and Nablus.#IsraeliCrimes",with
Jeremiah 42:3 Pray that the LORD our God will show us the way we should go and what we should do.) I love Israel ❤️🙏🙏🙏,against
GOD BLESS ISRAEL,against
i heat amreka izrael,with
"Gaza this evening near the Shifa hospital. Public screening of video clips showing Hamas terrorists attacking IDF forces in northern Gaza. I don’t see any electricity shortage. Everybody’s with their cellphones, cheering to the clips.",neutral
"Wow.., It's good news Israel Flag is flying over Gaza City today as I'm writing this messages, Hamas as fled in to its last tunnel and Israeli bombs are falling on them. Will Hamas come out and pull down the Israelites Flag at Gaza?",against
"Here's how Israel was created by colonialists, and took up their methods of exploitation.",neutral
"Honestly? I never was a fan of Bennet, but here he is brilliant!!
תודה רבה
The BBC ought to review and update the fundamental principles of Journalism, emphasizing the importance of being impartial, factual, and avoiding taking any sides.



YOUTUBE.COM
Fmr PM Bennett to BBC: “You’ve taken the side of Hamas. Shame on you”",against
A message to Israel and America....,with
"The people of Israel do not need to give an explanation to the whole world. How did the Hamas people burn a baby in the oven in front of the parents, how did they rape the girls, how did they kill the parents in front of their children, we are strong enough to defend ourselves and stand up to terrorism. Some countries support Hamas, someone supports Gaza, that means they support terrorism
We don't need anyone's sympathy. I support Israel and the people of Israel.",against
"Notice on group settings:
Please keep in mind this is a PUBLIC group. That means that posts and members are visible to anyone on facebook.
The moderators believe this is in our best interests because
It enables us to share posts outside of the group
It discourages the false sense of security that a “private” setting might create (there is no privacy on… More facebook – be careful in all situations. People can always screenshot and share anything.)
If you have any concerns, you can post anonymously - like with this post.
What this means is that this facebook group is an informational space, not an organizing space. If you want enhanced privacy please do not use facebook to communicate, use Signal, WhatsApp or Telegram.",neutral
"Indonesian for Palestine
🇮🇩❤️🇵🇸
We, the Indonesian people, always pray for you",with
"Lord protect warrior ladies, your chosen people 🔯🌷🙏 May they be safe in your hands 🇮🇱

Amen!",against
"Indians always with Israel..

Indian youth also join hand with hand with Israeli army but Israel government didn't allowed us, someone have approach in Israeli government, please convey our message..
Jay Shri Ram 🙏",against
